t,atp
0.0,1.4078719725895185e66
20.0,9.921725714122756e66
40.0,2.5324647482460994e67
60.0,4.4982179777256197e67
80.0,6.494918742168921e67
100.0,8.100403823511047e67
120.0,8.981642398426073e67
139.99999999999997,8.984784687217864e67
160.0,8.167287909054064e67
180.0,6.76298270318111e67
199.99999999999997,5.0966713033801193e67
220.0,3.482810827996229e67
237.0,2.3230339772979648e67
257.0,1.3026341781260928e67
277.0,6.502179038351688e66
297.0,2.8931112893677767e66
317.0,1.18082711515388e66
337.0,4.881729164270012e65
357.0,2.515432500721721e65
377.0,1.9539499302387692e65
397.0,2.1181780496501722e65
417.0,2.500581723824314e65
437.0,2.682293324354729e65
457.0,2.3826367634797387e65
477.0,1.6368918865729255e65
497.0,7.765635092713445e64
517.0,1.8017699471230158e64
537.0,7.467860243468239e59
556.9999999999999,-1.5150830883820235e49
577.0,-2.8217091449416527e49
597.0,-1.4600188660659883e49
616.9999999999999,9.866104183970551e61
637.0,2.620115720275899e64
657.0,1.1597400048079408e65
676.9999999999999,2.6891828389288863e65
697.0,4.48850923721358e65
717.0,6.000385290803496e65
736.9999999999999,6.746242726744398e65
757.0,6.5453903490301e65
777.0,5.562650856314405e65
796.9999999999999,4.183829272728175e65
817.0,2.815445768910233e65
837.0,1.7271162083070179e65
856.9999999999999,1.0031262285670494e65
877.0,5.918610763882794e64
897.0,3.917466722961592e64
916.9999999999999,3.139012273700076e64
937.0,2.993569188325024e64
957.0,3.072363780480066e64
977.0000000000001,3.031865818136791e64
997.0,2.632598544465911e64
1017.0,1.860215171287209e64
1037.0,9.553703221313491e63
1057.0,2.6526240597020135e63
1077.0,3.026176049305265e61
1097.0,-1.7505236975636402e48
1117.0,-4.8270915441167974e48
1137.0,-4.865686981061151e48
1157.0,-1.7846189549631363e48
1177.0,3.3328976251705466e61
1197.0,2.708221083488185e63
1217.0,9.1269019844373e63
1237.0,1.5253899150379694e64
1257.0,1.5285132809739374e64
1277.0,7.361507494539052e63
1297.0,1.2665920554209745e61
