tscr_a,tscr_b,tscr_r,tlr_a,tlr_b,tlr_r,Vinflux,Vdam,Vtag,Vrep,dil_rh,dil_rd,dil_rt,dil_rma,dil_rmb,dil_rmr,dil_rtca,dil_rtcb,dil_rtcr,deg_rd,deg_rma,deg_rmb,deg_rmr
1.0,1.0,0.0,31.0,37.0,1.0,61183.0,53773.0,1.0,45.0,7483.0,49324.0,922.0,0.0,0.0,0.0,32.0,80.0,2.0,3460.0,1.0,1.0,0.0
2.0,3.0,1.0,4.0,27.0,5.0,61585.0,55865.0,125.0,1777.0,7786.0,50003.0,459.0,0.0,0.0,0.0,408.0,441.0,6.0,3552.0,3.0,4.0,1.0
6.0,2.0,2.0,21.0,9.0,3.0,61289.0,56316.0,394.0,2608.0,8311.0,49690.0,291.0,0.0,0.0,0.0,945.0,376.0,4.0,3550.0,7.0,3.0,3.0
1.0,1.0,0.0,24.0,10.0,0.0,61120.0,54776.0,82.0,1335.0,7697.0,48971.0,998.0,0.0,0.0,0.0,80.0,232.0,1.0,3535.0,2.0,2.0,0.0
0.0,0.0,0.0,7.0,8.0,0.0,60985.0,53600.0,1.0,31.0,7432.0,49690.0,229.0,0.0,0.0,0.0,8.0,9.0,1.0,3637.0,1.0,1.0,0.0
1.0,1.0,0.0,48.0,33.0,2.0,61492.0,53981.0,1.0,21.0,7564.0,49240.0,1214.0,0.0,0.0,0.0,49.0,34.0,3.0,3482.0,1.0,2.0,0.0
0.0,0.0,0.0,36.0,3.0,1.0,61038.0,54943.0,83.0,1470.0,7582.0,48879.0,1221.0,0.0,0.0,0.0,37.0,4.0,2.0,3438.0,0.0,1.0,0.0
0.0,2.0,0.0,6.0,55.0,2.0,61269.0,54182.0,43.0,668.0,7778.0,49607.0,197.0,0.0,0.0,0.0,7.0,175.0,3.0,3734.0,1.0,3.0,0.0
2.0,2.0,0.0,23.0,91.0,0.0,61418.0,55618.0,176.0,1952.0,7873.0,49047.0,1224.0,0.0,0.0,0.0,63.0,235.0,1.0,3433.0,3.0,2.0,0.0
0.0,0.0,0.0,10.0,16.0,0.0,60680.0,53272.0,17.0,160.0,7586.0,49037.0,513.0,0.0,0.0,0.0,11.0,17.0,1.0,3563.0,1.0,1.0,0.0
3.0,5.0,0.0,19.0,11.0,1.0,61152.0,53876.0,523.0,397.0,8153.0,49538.0,463.0,0.0,0.0,0.0,369.0,448.0,2.0,3528.0,4.0,6.0,0.0
0.0,0.0,0.0,5.0,15.0,0.0,61712.0,55114.0,69.0,1072.0,7740.0,50388.0,185.0,0.0,0.0,0.0,6.0,16.0,1.0,3475.0,1.0,1.0,1.0
0.0,0.0,0.0,6.0,13.0,0.0,61503.0,54450.0,40.0,618.0,7687.0,49961.0,262.0,0.0,0.0,0.0,7.0,14.0,1.0,3633.0,1.0,1.0,0.0
